date,pos,neg
2020-05-04,632.1666666666666,13800.0
2020-05-06,39.3125,27.6875
2020-05-07,27.322580645161292,34.516129032258064
2020-05-08,118.61538461538461,10.923076923076923
2020-05-09,45.63636363636363,25.818181818181817
2020-05-10,612.7142857142857,15.428571428571429
2020-05-11,175.38709677419354,13.959677419354838
2020-05-12,49748.84,-469770.64
2020-05-13,9.013513513513514,228.06756756756758
2020-05-14,3524.1666666666665,30.458333333333332
2020-05-15,16.333333333333332,19.03846153846154
2020-05-16,115.0,-7623.428571428572
2020-05-17,2.0,71.0
2020-05-18,131.84615384615384,49.92307692307692
2020-05-19,9.166666666666666,1269.1666666666667
2020-05-20,24.90909090909091,168.72727272727272
2020-05-21,6.421052631578948,24.526315789473685
2020-05-22,241.85185185185185,472.037037037037
2020-05-23,0.0,6.0
2020-05-24,24.666666666666668,-66.66666666666667
2020-05-25,-102.85714285714286,-12.511904761904763
2020-05-26,46.76086956521739,15.181159420289855
2020-05-27,15.99099099099099,43.72072072072072
2020-05-28,107.53125,1860.3482142857142
2020-05-29,21.817204301075268,-107.32795698924731
2020-05-30,139.88888888888889,14.666666666666666
2020-05-31,569.3076923076923,-150.15384615384616
2020-06-01,-9661.988764044943,443.2977528089888
2020-06-02,755.6117021276596,-5558.702127659574
2020-06-03,6089.813131313132,598.4141414141415
2020-06-04,26.60176282051282,19.346153846153847
2020-06-05,50.645161290322584,29.698924731182796
2020-06-06,343.7142857142857,142.92857142857142
2020-06-07,22.75,12.09375
2020-06-08,12.559701492537313,80.91044776119404
2020-06-09,-9.427835051546392,378.77319587628864
2020-06-10,14.686046511627907,1564.7209302325582
2020-06-11,16.704545454545453,11304.318181818182
2020-06-12,86.0,28.20689655172414
2020-06-13,268.2,-211.2
2020-06-14,-42.22222222222222,-17.833333333333332
2020-06-15,79.66019417475728,231.55339805825244
2020-06-16,-10.424242424242424,39.416666666666664
2020-06-17,-1139.95,220.9142857142857
2020-06-18,41.92920353982301,-89808.37168141593
2020-06-19,-34018479093.26716,-6341265073.743259
2020-06-20,123.625,2622.625
2020-06-21,18.363636363636363,724.6818181818181
2020-06-22,67.32051282051282,631.3846153846154
2020-06-23,10.037735849056604,230.6556603773585
2020-06-24,99.59770114942529,27.517241379310345
2020-06-25,199.6551724137931,69.03448275862068
2020-06-26,106.0,18.55
2020-06-27,656.4545454545455,65.45454545454545
2020-06-28,130.97435897435898,40600.782051282054
2020-06-29,142.97310126582278,-298.9620253164557
2020-06-30,38.38592233009709,2535.4174757281553
2020-07-01,50.47945205479452,10.726027397260275
2020-07-02,-133.87037037037038,21063.12962962963
2020-07-03,-641.0,1395.5797101449275
2020-07-04,-43.2,-6081338357.466666
2020-07-05,52.0,29.11111111111111
2020-07-06,275.1923076923077,1603.5064102564102
2020-07-07,57.73737373737374,-22596504.250315655
2020-07-08,9.826315789473684,12.83157894736842
2020-07-09,118.3265306122449,1916.3809523809523
2020-07-10,39218.25,33299.0
2020-07-11,52.666666666666664,-34.05555555555556
2020-07-12,34.15384615384615,-238.15384615384616
2020-07-13,42.18811881188119,3924.5544554455446
2020-07-14,79.40689655172413,140.0344827586207
2020-07-15,55598778.68975904,1805001805524096.5
2020-07-16,3268.4957264957266,88.82905982905983
2020-07-17,625146374273805.9,1930.474025974026
2020-07-18,48.166666666666664,44.666666666666664
2020-07-19,-80.71428571428571,-2592933.9285714286
2020-07-20,-63.92857142857143,-323120.6476190476
2020-07-21,-2.196551724137931,-2174.051724137931
2020-07-22,88.82352941176471,15032.433823529413
2020-07-23,-404.8222222222222,68695.04444444444
2020-07-24,-129.8876404494382,-1.3932584269662922
2020-07-25,288.4583333333333,73.125
2020-07-26,8.5375,29.15
2020-07-27,111.16822429906541,-507.78504672897196
2020-07-28,5003.980916030534,51.545801526717554
2020-07-29,-75.25694444444444,80.61111111111111
2020-07-30,-120.42574257425743,-120715.375
2020-07-31,828.6933333333334,-570.6933333333334
2020-08-01,38.958333333333336,10.833333333333334
2020-08-02,7.865384615384615,84.8076923076923
2020-08-03,-39.344086021505376,47.77956989247312
2020-08-04,516.1913043478261,-264.0608695652174
2020-08-05,-13670394.18148148,-7013456.596296296
2020-08-06,-2411.2596153846152,-156.31730769230768
2020-08-07,-748.6764705882352,-29684574.70098039
2020-08-08,32.0,33.25
2020-08-09,-226.5,118.45
2020-08-10,-58.17857142857143,44.247767857142854
2020-08-11,3.7916666666666665,10.958333333333334
2020-08-12,123.7258064516129,-262.741935483871
2020-08-13,23.555555555555557,1231.8
2020-08-14,1876.32,-2346.64
2020-08-15,39.25,8871.0
2020-08-16,3304324.1578947366,-2861578275.9473686
2020-08-17,5.0,-40.689655172413794
2020-08-18,97.29347826086956,20647.039855072464
2020-08-19,243.5632911392405,-4097.126582278481
2020-08-20,324.39130434782606,39.85326086956522
2020-08-21,178446.9195402299,-6471387.850574712
2020-08-22,61.73684210526316,3716.3684210526317
2020-08-23,85.17647058823529,-20.323529411764707
2020-08-24,6.598591549295775,18.908450704225352
2020-08-25,92.80434782608695,1165.304347826087
2020-08-26,793.3421052631579,48.63157894736842
2020-08-27,53.625,60.125
2020-08-28,41.495098039215684,69.43137254901961
2020-08-29,24.9375,-637.8125
2020-08-30,32.07142857142857,177.0952380952381
2020-08-31,57.964285714285715,22444.014285714286
2020-09-01,80.8,-397.1928571428571
2020-09-02,59.24,441.64
2020-09-03,6783.563636363637,-14290.054545454546
2020-09-04,93.33962264150944,161.49056603773585
2020-09-05,8.0,13.285714285714286
2020-09-06,564.5555555555555,-1935.5555555555557
